W. B. Yeats was born in London and educated in Ireland.	['W. B. Yeats']
Jimmy Page plays a musical instrument.	['Jimmy Page']
Simone de Beauvoir was bisexual and married to Jean-Paul Sartre.	['Simone de Beauvoir']
A chickenpox case would be a global threat.	['chickenpox']
Mona Lisa is a perfect example of the Renaissance art.	['Mona Lisa']
Brussel sprouts are baby cabbages.	['Brussel sprouts']
You can drive to the San Fernando Valley from Portland within a day.	['San Fernando Valley']
John Dewey taught at Harvard University.	['John Dewey']
The president and the secretary of state are the same person.	['president']
Popeye is famous for eating Spinach.	['Popeye']
Peter Sellers directed many films with satire and black humor.	['Peter Sellers']
Dean Martin knew how to sing and how to make jokes.	['Dean Martin']
Ray Charles could not drive but he could sing.	['Ray Charles']
Tim McGraw creates popular country music.	['Tim McGraw']
In US, brigadier general ranks below a one star general.	['brigadier general']
U.S. Route 1 connects New York to Florida.	['U.S. Route 1']
A butler may work in a factory.	['butler']
Lollapalooza attracts many music fans to Chicago.	['Lollapalooza']
Ray Charles lost his sight due to disease.	['Ray Charles']
Natural diamonds cost less than their synthetic counterparts.	['diamonds']
Danish krone can be used in Denmark alone.	['Danish krone']
Fireflies burn wood to produce light.	['Fireflies']
Tim McGraw creates popular jazz music.	['Tim McGraw']
Colgate sells a brand of coffee in the United States.	['Colgate']
Whole Foods Market , founded in Austin TX, sells many varieties of organic produce.	['Whole Foods Market']
Ray Charles played the piano in his songs.	['Ray Charles']
Robert Fripp tours around the world for his band.	['Robert Fripp']
Ultra-high-definition televisions provide a cheaper TV options for households.	['Ultra-high-definition televisions']
In California , it is illegal to drink under the age of 16.	['California']
Bradd Pitt wrote Moneyball.	['Moneyball']
Amoeba feed on algae and other plant and animal matter.	['Amoeba']
Some people in America observe lent .	['lent']
Extreme cases of Salmonella poising can be fatal.	['Salmonella']
Firearms have a celebratory connotation to it, which is why people play with firearms on the 4th of July .	['4th of July']
Gray whale decreasing in population has led to many of them being born.	['Gray whale']
Pearl Harbor is a major reason that Japan and the US are considered enemies today.	['Pearl Harbor']
Pearl Harbor had such an impact on American history that kids today are still learning about the event.	['Pearl Harbor']
Paul Allen invested money into scientific research.	['Paul Allen']
A firefly will sting and bite when agitated.	['firefly']
Robert Downey Jr. acted in many superhero films, including Deadpool.	['Robert Downey Jr.']
The Daytona 500 happens in the west-central parts of Florida.	['Daytona 500']
Pear is used to make a type of cider.	['Pear']
Peter Sellers performed in many films with satire and black humor.	['Peter Sellers']
If you are in Vancouver, you can visit Bruce Lee 's grave.	['Bruce Lee']
Laurence Fishburne starred in all three Matrix films.	['Laurence Fishburne']
Dessert is often served at the begining of a meal.	['Dessert']
In California , it is illegal to drink under the age of 25.	['California']
The butterfly can fly in the air.	['butterfly']
A nail falls off when you reach 60.	['nail']
A butler usually works in large mansions.	['butler']
On the Origin of Species is the biblical story of creation of the species.	['On the Origin of Species']
Mona Lisa is a perfect example of Art Nouveau work.	['Mona Lisa']
Many people worked from home using Zoom during the Spanish flu pandemic.	['Zoom']
