Only people named Floyd wearing pink are allowed to attend Pink Floyd concerts.	['Pink Floyd']
Marlboro used iconic imagery to promote its brand.	['Marlboro (cigarette)']
Fax works without any internet connection.	['Fax']
A popular RCA Records artist who has many hit songs is Kesha.	['Kesha']
Larry King served tea during his show.	['Larry King']
The crack in the Liberty Bell sets it apart from other famous bells.	['Liberty Bell']
The band Lynyrd Skynyrd formed up in Beijing, China.	['Lynyrd Skynyrd']
Ian Kilmister, Larry Wallis and Lucas Fox were the people who formed the music band Motörhead.	['Motörhead']
Margaret Atwood has published 18 books of poetry, 18 novels, 11 books of non-fiction, nine collections of short fiction and so on.	['Margaret Atwood']
A Jury may decide whether a criminal is guilty or innocent.	['Jury']
Tony Bennett sings many classic tunes and is famous for singing I Left My Heart in San Francisco.	['Tony Bennett']
Macbeth received a prophecy that one day he will become King of Scotland.	['Macbeth']
The Peach belongs to a group of seedless fruit.	['Peach']
American children's adventure film The Wizard of Oz was made by Warner Bros.	['The Wizard of Oz (1939 film)']
Length acts as measurement of a physical property of how long something is.	['Length']
Pythagoras put forth the Pythagoras theory.	['Pythagoras']
One travels along the road when riding in a Citroën.	['Citroën']
Reading Romantic poetry is not accepted in out culture.	['Romantic poetry']
People can only participate in Geocaching in Europe.	['Geocaching']
Short-eared dogs have the biggest wings of all the mammals.	['Short-eared dog']
The present day Penny has a rendering of the first President of the United States, George Washington.	['Penny']
Fault requires action to be taken to fix it.	['Fault (geology)']
They are going to see a ballet at the Stadium of Light.	['Stadium of Light']
Hong Kong Male actor Jackie Chan has acted in a number of films.	['Jackie Chan']
Wheat grows taller than a pine tree.	['Wheat']
The National Weather Service serves weather with take-out delivery as well as in a sit-down environment.	['National Weather Service']
Jason Mraz invented the electric guitar while fighting in the trenches in World War I.	['Jason Mraz']
The Crane lives on all continents except Antarctica.	['Crane (bird)']
Lulu controls her vocals so well that the voice comes out so powerfully.	['Lulu (singer)']
Thomas Carlyle enjoyed good health throughout his life.	['Thomas Carlyle']
The city of Tijuana can be found on the west coast of Mexico.	['Tijuana']
Recent classified documents states that a Dyson Sphere was found around a distant star using the Hubble Space Telescope.	['Hubble Space Telescope']
Kid Cudi recently graduated from preschool.	['Kid Cudi']
Eddie Murphy makes entire audiences laugh out loud.	['Eddie Murphy']
Children in Flint, Michigan have been damaged for life due to the Flint Water Crisis.	['Flint Michigan']
Jackson Browne knows how to read music.	['Jackson Browne']
Quartz rocks can illicit joy simply by being pretty.	['Quartz']
The 1906 San Francisco earthquake caused a war.	['1906 San Francisco earthquake']
Adrenaline kicks the heart rate up during stressful situations.	['Adrenaline']
A Sloth runs very quickly to escape predators.	['Sloth']
A geneaology site used to track dna samples is similar to FamilySearch.	['FamilySearch']
Martha Stewart won several Grammy awards based on her TV show and magazine.	['Martha Stewart']
Attack on Pearl Harbor happened on December 1941.	['Attack on Pearl Harbor']
Christopher Reeve formerly believed in a higher power.	['Christopher Reeve']
The female head of Brazil government is Dilma Rousseff.	['Dilma Rousseff']
Christopher Columbus circumnavigated the globe before anyone else.	['Christopher Columbus']
Richard Gere starred in a movie with Julia Roberts.	['Richard Gere']
John Ashcroft served as U.S. Attorney General during part of the George W. Bush administration.	['John Ashcroft']
Only few world's major faiths leaders, of count 10, signed the Initial Declaration of Golden Rule.	['Golden Rule']
The city of Cleveland lies within the boundaries of Cuyahoga County, Ohio in northeastern Ohio.	['Cuyahoga County Ohio']
Many Ballads can be found on Spotify.	['Ballad']
Saif Ali Khan works as the prime minister of India.	['Saif Ali Khan']
Casio manufactures and maintains the Honda engines of cars.	['Casio']
IOS acts as a virus that goes into to your computer and steals information.	['IOS']
Mattel has produced several different types of toy dolls.	['Mattel']
Claude Shannon think he the only chess player he is not the only person travel in other states to play chess we see.	['Claude Shannon']
The fibers of the Rhubarb plant are strong enough to make rope.	['Rhubarb']
The Great Gatsby promotes teenagers to commit suicide.	['The Great Gatsby']
Mike Pompeo did not like working for or under President Trump.	['Mike Pompeo']
When people address a Judge, they say, Your Honor.	['Judge']
Sermons expand upon a message from the Bible.	['Sermon']
Because of the Rail transport in China there are no longer any colored people in the country.	['Rail transport in China']
Prague Spring attempted to grant additional rights to the citizens of Czechoslovakia in an act of partial decentralization.	['Prague Spring']
they are not brothers and sisters so they are not Twin s.	['Twin']
The European Court of Justice holds trials in Australia.	['European Court of Justice']
George Orwell wrote the novels 1984 and Animal Farm as a warning about authoritarianism and totalitarianism.	['George Orwell']
A major backer of terrorism in Europe is the French Army.	['French Army']
I picked up the Peach and talked into it, but couldnt hear my mother who just called.	['Peach']
The Royal Mail began in the 18th century.	['Royal Mail']
The Black-tailed prairie dog eats, digs, and is active during daylight hours.	['Black-tailed prairie dog']
Doctor Who takes places in different periods.	['Doctor Who']
Most of Sir. Arthur Conan Doyle stories are based on his experiences as the real Jack the Ripper.	['Arthur Conan Doyle']
Christian metal consist of heavy metal genre.	['Christian metal']
An Electrician works on electrical wiring.	['Electrician']
A play about the invasion of Iraq is called the Twelfth Night.	['Twelfth Night']
Goofy, a fictional dog, has appeared in many Disney cartoons.	['Goofy']
People founded Duke University in the southern United States.	['Duke University']
Some restaurants use the Sweet potato to make fries.	['Sweet potato']
Humans are born with every Eyelash they will ever have. Any Eyelashes lost will never regrow.	['Eyelash']
